﻿# stno, yyyymm,     TX01,     SS01
467441, 202401,     18.6,    217.0
467441, 202402,     21.2,    223.4
467441, 202403,     22.8,    220.3
467441, 202404,     27.1,    207.9
467441, 202405,     27.1,    146.0
467441, 202406,     29.1,    205.0
467441, 202407,     29.3,    235.1
467441, 202408,     28.4,    218.8
467441, 202409,     28.2,    186.5
467441, 202410,     26.5,    147.3
467441, 202411,     23.7,    173.3
467441, 202412,     19.0,    173.9
