﻿# stno, yyyymm,     TX01,     SS01
467441, 202501,     17.2,    162.5
467441, 202502,     17.9,    131.6
467441, 202503,     21.4,    208.4
467441, 202504,     24.8,    203.8
467441, 202505,     28.2,    244.0
467441, 202506,     28.6,    215.8
467441, 202507,     28.2,    121.3
467441, 202508,     28.2,    205.2
467441, 202509,     28.2,    192.0
467441, 202510,     27.6,    219.8
467441, 202511,     23.3,    166.3
467441, 202512,     20.6,    200.3
